id ????-?????;???????? ????-?????;???????????;????? ????;???????? ????;??;?????????;????????;?????????;ID ???- ???????
1;??????????? ???????????? ?? ????? ????? ????. ??.;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
";1. ;"?????? ?????? ""?????"" ?? ??????? ????????";"???????????? ???????????????? ??? ?????? ""mail@host.domain"" ? ??????? ""12345678"""; Windows 11, ?????? ??????? 22.9.1.1095;???????????? ???????????????, ?? ???????? ?????? 404;FAILED;Bug - 4
;;;2.;"? ???? ""Email"" ?????? ""abcd@yandex.ru""";;;;;
;;;3.;"? ???? ""??????"" ?????? ""12345678""";;;;;
;;;4.;"?????? ?????? ""???????????""";;;;;
;;;;;;;;;
;;;;;;;;;
2;???? ??????????????????? ???????????? ?? ????? ????. ??.;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ???????????????? ???????????? ? ?????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"?????? ?????? ""?????"" ?? ??????? ????????";???????????? ?????? ? ?????? ???????; Windows 11, ?????? ??????? 22.9.1.1095;;PASSED;
;;;2.;"? ???? ""Email"" ?????? ""abcd@yandex.ru""";;;;;
;;;3.;"? ???? ""??????"" ?????? ""12345678""";;;;;
;;;4.;"?????? ?????? ""?????""";;;;;
3;????? ?? ???????? ?? ????? ????? ????. ??;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ???????????????? ???????????? ? ?????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"?????? ?????? ""?????"" ?? ??????? ????????";???????????? ?????? ?? ???????.; Windows 11, ?????? ??????? 22.9.1.1095;;PASSED;
;;;2.;"? ???? ""Email"" ?????? ""abcd@yandex.ru""";;;;;
;;;3.;"? ???? ""??????"" ?????? ""12345678""";;;;;
;;;4.;"?????? ?????? ""?????""";;;;;
;;;5.;"?????? ?? ?????? ""????? ?? ????????""";;;;;
4;"????????? ""???"" ? ""????????"" ? ?????? ????????";"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ??????????????, ????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"? ???? ""???"" ?????? ""????""";"???????? ? ""???"" ?????????? ? ?????? ????????"; Windows 11, ?????? ??????? 22.9.1.1095;;FAILED;Bug - 11
;;;2.;"???????? ""??????? ???? ??? ?????????? ????????""";;;;;
;;;3.;????????? ?? ???????? ????? ????????;;;;;
;;;4.;"?????? ?????? ""?????????""";;;;;
;;;5.;????????????? ???????? ????????;;;;;
5;???? ? ??????? ??? ?????????????? ????????????? ?? ????? ????. ??.;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ??????????????, ????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"?? ??????? ???????? ?????? ?????? ""???????""";????????? ???????? ???????; Windows 11, ?????? ??????? 22.9.1.1095;;PASSED;
;;;2.;"?????? ?????? ""???????"" ? ????";;;;;
;;;;;;;;;
;;;;;;;;;
6;????? ????? ?? ????. ?? ? ??????? ??? ?????????????? ????????????? ?? ????? ????. ??.;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ??????????????, ????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"?? ??????? ???????? ?????? ?????? ""???????""";"?? ???????? ??????? ????????? ???? ????? ""Duck"""; Windows 11, ?????? ??????? 22.9.1.1095;;PASSED;
;;;2.;"?????? ?????? ""???????"" ? ????";;;;;
;;;3.;?????? ?? ???? ? ????;;;;;
;;;4. ;"? ???? ?????? ???????? ""duck""";;;;;
7;????? ????? ?? ???????? ?? ? ??????? ??? ?????????????? ????????????? ?? ????? ????. ??.;"1. ?????? ???? https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. ??????????????, ????? ""mail@host.domain"" ? ??????? ""12345678""";1. ;"?? ??????? ???????? ?????? ?????? ""???????""";"?? ???????? ??????? ????????? ???? ????? ""Duck"" (????)"; Windows 11, ?????? ??????? 22.9.1.1095;;PASSED;
;;;2.;"?????? ?????? ""???????"" ? ????";;;;;
;;;3.;?????? ?? ???? ? ????;;;;;
;;;4. ;"? ???? ?????? ???????? ""????""";;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
