id тест-кейса,Название тест-кейса,Предусловия,Номер шага,Описание шага,ОР,Окружение,Описание,Результат,ID Баг- репорта
1,Регистрация пользователя на сайте школа англ. яз.,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
",1. ,"Нажать кнопку ""Войти"" на гравной странице","Пользователь зарегестрируется под почтой ""mail@host.domain"" и паролем ""12345678"""," Windows 11, Яндекс браузер 22.9.1.1095","Пользователь зарегистрирован, но появилсь ошибка 404",FAILED,Bug - 4
,,,2.,"В поле ""Email"" ввести ""abcd@yandex.ru""",,,,,
,,,3.,"В поле ""Пароль"" ввести ""12345678""",,,,,
,,,4.,"Нажать кнопку ""Регистрация""",,,,,
,,,,,,,,,
,,,,,,,,,
2,Вход зарегистрированного пользователя на сайте англ. яз.,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Зарегистрировать пользователя с почтой ""mail@host.domain"" и паролем ""12345678""",1. ,"Нажать кнопку ""Войти"" на гравной странице",Пользователь войдет в личный кабинет," Windows 11, Яндекс браузер 22.9.1.1095",,PASSED,
,,,2.,"В поле ""Email"" ввести ""abcd@yandex.ru""",,,,,
,,,3.,"В поле ""Пароль"" ввести ""12345678""",,,,,
,,,4.,"Нажать кнопку ""Войти""",,,,,
3,Выход из аккаунта на сайте школа англ. яз,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Зарегистрировать пользователя с почтой ""mail@host.domain"" и паролем ""12345678""",1. ,"Нажать кнопку ""Войти"" на гравной странице",Пользователь выйдет из аккаута.," Windows 11, Яндекс браузер 22.9.1.1095",,PASSED,
,,,2.,"В поле ""Email"" ввести ""abcd@yandex.ru""",,,,,
,,,3.,"В поле ""Пароль"" ввести ""12345678""",,,,,
,,,4.,"Нажать кнопку ""Войти""",,,,,
,,,5.,"Нажать на кнопку ""Выйти из аккаунта""",,,,,
4,"Сохранить ""Имя"" и ""Аватарку"" а личном кабинете","1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Авторизоваться, почта ""mail@host.domain"" и паролем ""12345678""",1. ,"В поле ""Имя"" ввести ""Иван""","Аватарка и ""Имя"" сохранится в личном кабинете"," Windows 11, Яндекс браузер 22.9.1.1095",,FAILED,Bug - 11
,,,2.,"Кликнуть ""Нажмите сюда или перетащите картинку""",,,,,
,,,3.,Поставить на аватарку любую картинку,,,,,
,,,4.,"Нажать кнопку ""Сохранить""",,,,,
,,,5.,Перезагрузить страницу браузера,,,,,
5,Вход в словарь для авторизованных пользователей на сайте англ. яз.,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Авторизоваться, почта ""mail@host.domain"" и паролем ""12345678""",1. ,"На главной странице нажать кнопку ""Учебник""",Откроется страница словаря," Windows 11, Яндекс браузер 22.9.1.1095",,PASSED,
,,,2.,"Нажать кнопку ""Словарь"" в меню",,,,,
,,,,,,,,,
,,,,,,,,,
6,Поиск слова на англ. яз в словаре для авторизованных пользователей на сайте англ. яз.,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Авторизоваться, почта ""mail@host.domain"" и паролем ""12345678""",1. ,"На главной странице нажать кнопку ""Учебник""","На странице словаря останется одно слово ""Duck"""," Windows 11, Яндекс браузер 22.9.1.1095",,PASSED,
,,,2.,"Нажать кнопку ""Словарь"" в меню",,,,,
,,,3.,Нажать на лупу в меню,,,,,
,,,4. ,"В поле поиска написать ""duck""",,,,,
7,Поиск слова на русскому яз в словаре для авторизованных пользователей на сайте англ. яз.,"1. Отрыть сайт https://faint-adasaurus-4bc.notion.site/326597138907402087ea765a4ba96d6b
2. Авторизоваться, почта ""mail@host.domain"" и паролем ""12345678""",1. ,"На главной странице нажать кнопку ""Учебник""","На странице словаря останется одно слово ""Duck"" (утка)"," Windows 11, Яндекс браузер 22.9.1.1095",,PASSED,
,,,2.,"Нажать кнопку ""Словарь"" в меню",,,,,
,,,3.,Нажать на лупу в меню,,,,,
,,,4. ,"В поле поиска написать ""Утка""",,,,,
